Postsecondary Enrollment,,,,,,,
,,,,,,,
,,,,,,,
Year,Level,Division,School,Subgroup,Students earning a federally recognized high school diploma,Students enrolled in higher education within 16 months of graduation,Percent
2019,SCH,Accomack County Public Schools,Nandua High,Hispanic,23,<,<
2019,SCH,Accomack County Public Schools,Nandua High,Male,68,26,38
2019,SCH,Accomack County Public Schools,Nandua High,Native Hawaiian,<,<,<
2019,SCH,Accomack County Public Schools,Nandua High,Students with Disabilities,12,<,<
2019,SCH,Accomack County Public Schools,Nandua High,White,57,30,53
2019,SCH,Accomack County Public Schools,Tangier Combined,All Students,<,<,<
2019,SCH,Accomack County Public Schools,Tangier Combined,Male,<,<,<
2019,SCH,Accomack County Public Schools,Tangier Combined,White,<,<,<
2019,SCH,Albemarle County Public Schools,Albemarle High,All Students,443,333,75
2019,SCH,Albemarle County Public Schools,Albemarle High,Asian,37,36,97
2019,SCH,Albemarle County Public Schools,Albemarle High,Black,68,40,59
2019,SCH,Albemarle County Public Schools,Albemarle High,Economically Disadvantaged,127,73,57
2019,SCH,Albemarle County Public Schools,Albemarle High,English Learners,50,29,58
2019,SCH,Albemarle County Public Schools,Albemarle High,Female,211,171,81
2019,SCH,Albemarle County Public Schools,Albemarle High,Hispanic,56,27,48
2019,SCH,Albemarle County Public Schools,Albemarle High,Male,232,162,70
2019,SCH,Albemarle County Public Schools,Albemarle High,Multiple Races,30,26,87
2019,SCH,Albemarle County Public Schools,Albemarle High,Students with Disabilities,44,21,48
2019,SCH,Albemarle County Public Schools,Albemarle High,White,252,204,81
2019,SCH,Albemarle County Public Schools,Community Lab School,All Students,18,10,56
2019,SCH,Albemarle County Public Schools,Community Lab School,Black,<,<,<
2019,SCH,Albemarle County Public Schools,Community Lab School,Economically Disadvantaged,<,<,<
2019,SCH,Albemarle County Public Schools,Community Lab School,Female,<,<,<
2019,SCH,Albemarle County Public Schools,Community Lab School,Hispanic,<,<,<
2019,SCH,Albemarle County Public Schools,Community Lab School,Male,<,<,<
2019,SCH,Albemarle County Public Schools,Community Lab School,Multiple Races,<,<,<
2019,SCH,Albemarle County Public Schools,Community Lab School,Students with Disabilities,<,<,<
2019,SCH,Albemarle County Public Schools,Community Lab School,White,11,<,<
2019,SCH,Albemarle County Public Schools,Monticello High,All Students,260,170,65
2019,SCH,Albemarle County Public Schools,Monticello High,Asian,<,<,<
2019,SCH,Albemarle County Public Schools,Monticello High,Black,29,19,66
2019,SCH,Albemarle County Public Schools,Monticello High,Economically Disadvantaged,81,38,47
2019,SCH,Albemarle County Public Schools,Monticello High,English Learners,17,<,<
2019,SCH,Albemarle County Public Schools,Monticello High,Female,127,90,71
2019,SCH,Albemarle County Public Schools,Monticello High,Hispanic,31,16,52
2019,SCH,Albemarle County Public Schools,Monticello High,Male,133,80,60
2019,SCH,Albemarle County Public Schools,Monticello High,Multiple Races,13,<,<
2019,SCH,Albemarle County Public Schools,Monticello High,Students with Disabilities,31,13,42
2019,SCH,Albemarle County Public Schools,Monticello High,White,182,122,67
2019,SCH,Albemarle County Public Schools,Western Albemarle High,All Students,278,232,83
2019,SCH,Albemarle County Public Schools,Western Albemarle High,Asian,<,<,<
2019,SCH,Albemarle County Public Schools,Western Albemarle High,Black,<,<,<
2019,SCH,Albemarle County Public Schools,Western Albemarle High,Economically Disadvantaged,35,21,60
2019,SCH,Albemarle County Public Schools,Western Albemarle High,English Learners,<,<,<
2019,SCH,Albemarle County Public Schools,Western Albemarle High,Female,140,125,89
2019,SCH,Albemarle County Public Schools,Western Albemarle High,Hispanic,11,<,<
2019,SCH,Albemarle County Public Schools,Western Albemarle High,Male,138,107,78
2019,SCH,Albemarle County Public Schools,Western Albemarle High,Multiple Races,12,11,92
2019,SCH,Albemarle County Public Schools,Western Albemarle High,Students with Disabilities,21,<,<
2019,SCH,Albemarle County Public Schools,Western Albemarle High,White,248,209,84
2019,SCH,Alexandria City Public Schools,Alexandria City High,All Students,805,508,63
2019,SCH,Alexandria City Public Schools,Alexandria City High,Asian,24,19,79
2019,SCH,Alexandria City Public Schools,Alexandria City High,Black,247,179,72
2019,SCH,Alexandria City Public Schools,Alexandria City High,Economically Disadvantaged,515,273,53
2019,SCH,Alexandria City Public Schools,Alexandria City High,English Learners,262,109,42
2019,SCH,Alexandria City Public Schools,Alexandria City High,Female,386,279,72
2019,SCH,Alexandria City Public Schools,Alexandria City High,Hispanic,312,124,40
2019,SCH,Alexandria City Public Schools,Alexandria City High,Male,419,229,55
2019,SCH,Alexandria City Public Schools,Alexandria City High,Multiple Races,16,10,63
2019,SCH,Alexandria City Public Schools,Alexandria City High,Students with Disabilities,50,20,40
2019,SCH,Alexandria City Public Schools,Alexandria City High,White,206,176,85
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,All Students,142,72,51
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,Black,<,<,<
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,Economically Disadvantaged,57,23,40
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,Female,70,49,70
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,Hispanic,<,<,<
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,Male,72,23,32
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,Multiple Races,10,<,<
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,Students with Disabilities,<,<,<
2019,SCH,Alleghany Highlands Public Schools,Alleghany High,White,124,62,50
2019,SCH,Amelia County Public Schools,Amelia County High,All Students,128,55,43
2019,SCH,Amelia County Public Schools,Amelia County High,Asian,<,<,<
2019,SCH,Amelia County Public Schools,Amelia County High,Black,29,12,41
2019,SCH,Amelia County Public Schools,Amelia County High,Economically Disadvantaged,60,15,25
2019,SCH,Amelia County Public Schools,Amelia County High,English Learners,<,<,<
2019,SCH,Amelia County Public Schools,Amelia County High,Female,55,29,53
2019,SCH,Amelia County Public Schools,Amelia County High,Hispanic,11,<,<
2019,SCH,Amelia County Public Schools,Amelia County High,Male,73,26,36
2019,SCH,Amelia County Public Schools,Amelia County High,Multiple Races,<,<,<
2019,SCH,Amelia County Public Schools,Amelia County High,Students with Disabilities,10,<,<
2019,SCH,Amelia County Public Schools,Amelia County High,White,85,38,45
2019,SCH,Amherst County Public Schools,Amherst County High,All Students,272,132,49
2019,SCH,Amherst County Public Schools,Amherst County High,American Indian,<,<,<
2019,SCH,Amherst County Public Schools,Amherst County High,Asian,<,<,<
2019,SCH,Amherst County Public Schools,Amherst County High,Black,63,32,51
2019,SCH,Amherst County Public Schools,Amherst County High,Economically Disadvantaged,110,38,35
2019,SCH,Amherst County Public Schools,Amherst County High,English Learners,<,<,<
2019,SCH,Amherst County Public Schools,Amherst County High,Female,124,74,60
2019,SCH,Amherst County Public Schools,Amherst County High,Hispanic,10,<,<
2019,SCH,Amherst County Public Schools,Amherst County High,Male,148,58,39
2019,SCH,Amherst County Public Schools,Amherst County High,Multiple Races,21,<,<
2019,SCH,Amherst County Public Schools,Amherst County High,Students with Disabilities,33,<,<
2019,SCH,Amherst County Public Schools,Amherst County High,White,174,86,49
2019,SCH,Appomattox County Public Schools,Appomattox County High,All Students,144,70,49
2019,SCH,Appomattox County Public Schools,Appomattox County High,Asian,<,<,<
2019,SCH,Appomattox County Public Schools,Appomattox County High,Black,33,13,39
2019,SCH,Appomattox County Public Schools,Appomattox County High,Economically Disadvantaged,61,21,34
2019,SCH,Appomattox County Public Schools,Appomattox County High,Female,80,47,59
2019,SCH,Appomattox County Public Schools,Appomattox County High,Hispanic,<,<,<
2019,SCH,Appomattox County Public Schools,Appomattox County High,Male,64,23,36
2019,SCH,Appomattox County Public Schools,Appomattox County High,Multiple Races,<,<,<
2019,SCH,Appomattox County Public Schools,Appomattox County High,Students with Disabilities,12,<,<
2019,SCH,Appomattox County Public Schools,Appomattox County High,White,97,51,53
2019,SCH,Arlington County Public Schools,Arlington Community High,All Students,25,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,Asian,<,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,Black,<,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,Economically Disadvantaged,12,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,English Learners,12,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,Female,13,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,Hispanic,12,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,Male,12,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,Multiple Races,<,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,Students with Disabilities,<,<,<
2019,SCH,Arlington County Public Schools,Arlington Community High,White,<,<,<
2019,SCH,Arlington County Public Schools,Wakefield High,All Students,453,312,69
2019,SCH,Arlington County Public Schools,Wakefield High,American Indian,<,<,<
2019,SCH,Arlington County Public Schools,Wakefield High,Asian,33,25,76
2019,SCH,Arlington County Public Schools,Wakefield High,Black,92,64,70
2019,SCH,Arlington County Public Schools,Wakefield High,Economically Disadvantaged,191,119,62
2019,SCH,Arlington County Public Schools,Wakefield High,English Learners,124,72,58
2019,SCH,Arlington County Public Schools,Wakefield High,Female,229,170,74
2019,SCH,Arlington County Public Schools,Wakefield High,Hispanic,190,115,61
2019,SCH,Arlington County Public Schools,Wakefield High,Male,224,142,63
2019,SCH,Arlington County Public Schools,Wakefield High,Multiple Races,25,19,76
2019,SCH,Arlington County Public Schools,Wakefield High,Native Hawaiian,<,<,<
2019,SCH,Arlington County Public Schools,Wakefield High,Students with Disabilities,60,36,60
2019,SCH,Arlington County Public Schools,Wakefield High,White,110,88,80
2019,SCH,Arlington County Public Schools,Washington-Liberty High,All Students,531,419,79
2019,SCH,Arlington County Public Schools,Washington-Liberty High,Asian,61,50,82
2019,SCH,Arlington County Public Schools,Washington-Liberty High,Black,45,33,73
2019,SCH,Arlington County Public Schools,Washington-Liberty High,Economically Disadvantaged,140,92,66
2019,SCH,Arlington County Public Schools,Washington-Liberty High,English Learners,92,51,55
2019,SCH,Arlington County Public Schools,Washington-Liberty High,Female,277,234,84
2019,SCH,Arlington County Public Schools,Washington-Liberty High,Hispanic,140,89,64
2019,SCH,Arlington County Public Schools,Washington-Liberty High,Male,254,185,73
2019,SCH,Arlington County Public Schools,Washington-Liberty High,Multiple Races,37,31,84
2019,SCH,Arlington County Public Schools,Washington-Liberty High,Students with Disabilities,58,31,53
2019,SCH,Arlington County Public Schools,Washington-Liberty High,White,248,216,87
2019,SCH,Arlington County Public Schools,Yorktown High,All Students,517,450,87
2019,SCH,Arlington County Public Schools,Yorktown High,American Indian,<,<,<
2019,SCH,Arlington County Public Schools,Yorktown High,Asian,37,34,92
2019,SCH,Arlington County Public Schools,Yorktown High,Black,35,28,80
2019,SCH,Arlington County Public Schools,Yorktown High,Economically Disadvantaged,54,40,74
2019,SCH,Arlington County Public Schools,Yorktown High,English Learners,43,29,67
2019,SCH,Arlington County Public Schools,Yorktown High,Female,263,238,90
2019,SCH,Arlington County Public Schools,Yorktown High,Hispanic,70,46,66
2019,SCH,Arlington County Public Schools,Yorktown High,Male,254,212,83
2019,SCH,Arlington County Public Schools,Yorktown High,Multiple Races,41,36,88
2019,SCH,Arlington County Public Schools,Yorktown High,Students with Disabilities,82,63,77
2019,SCH,Arlington County Public Schools,Yorktown High,White,333,305,92
2019,SCH,Augusta County Public Schools,Buffalo Gap High,All Students,121,44,36
2019,SCH,Augusta County Public Schools,Buffalo Gap High,Economically Disadvantaged,46,12,26
2019,SCH,Augusta County Public Schools,Buffalo Gap High,Female,66,30,45
2019,SCH,Augusta County Public Schools,Buffalo Gap High,Hispanic,<,<,<
2019,SCH,Augusta County Public Schools,Buffalo Gap High,Male,55,14,25
2019,SCH,Augusta County Public Schools,Buffalo Gap High,Students with Disabilities,13,<,<
2019,SCH,Augusta County Public Schools,Buffalo Gap High,White,120,43,36
2019,SCH,Augusta County Public Schools,Fort Defiance High,All Students,160,85,53
2019,SCH,Augusta County Public Schools,Fort Defiance High,Asian,<,<,<
2019,SCH,Augusta County Public Schools,Fort Defiance High,Black,<,<,<
2019,SCH,Augusta County Public Schools,Fort Defiance High,Economically Disadvantaged,52,20,38
2019,SCH,Augusta County Public Schools,Fort Defiance High,English Learners,<,<,<
2019,SCH,Augusta County Public Schools,Fort Defiance High,Female,82,54,66
2019,SCH,Augusta County Public Schools,Fort Defiance High,Hispanic,13,<,<
2019,SCH,Augusta County Public Schools,Fort Defiance High,Male,78,31,40
2019,SCH,Augusta County Public Schools,Fort Defiance High,Multiple Races,<,<,<
2019,SCH,Augusta County Public Schools,Fort Defiance High,Students with Disabilities,10,<,<
2019,SCH,Augusta County Public Schools,Fort Defiance High,White,138,74,54
2019,SCH,Augusta County Public Schools,Riverheads High,All Students,111,57,51
2019,SCH,Augusta County Public Schools,Riverheads High,American Indian,<,<,<
2019,SCH,Augusta County Public Schools,Riverheads High,Asian,<,<,<
2019,SCH,Augusta County Public Schools,Riverheads High,Black,<,<,<
2019,SCH,Augusta County Public Schools,Riverheads High,Economically Disadvantaged,34,13,38
2019,SCH,Augusta County Public Schools,Riverheads High,English Learners,<,<,<
2019,SCH,Augusta County Public Schools,Riverheads High,Female,50,31,62
2019,SCH,Augusta County Public Schools,Riverheads High,Hispanic,<,<,<
2019,SCH,Augusta County Public Schools,Riverheads High,Male,61,26,43
2019,SCH,Augusta County Public Schools,Riverheads High,Multiple Races,<,<,<
2019,SCH,Augusta County Public Schools,Riverheads High,Students with Disabilities,<,<,<
2019,SCH,Augusta County Public Schools,Riverheads High,White,98,50,51
2019,SCH,Augusta County Public Schools,Stuarts Draft High,All Students,142,66,46
2019,SCH,Augusta County Public Schools,Stuarts Draft High,American Indian,<,<,<
2019,SCH,Augusta County Public Schools,Stuarts Draft High,Asian,<,<,<
2019,SCH,Augusta County Public Schools,Stuarts Draft High,Black,<,<,<
2019,SCH,Augusta County Public Schools,Stuarts Draft High,Economically Disadvantaged,47,20,43
2019,SCH,Augusta County Public Schools,Stuarts Draft High,Female,66,37,56
2019,SCH,Augusta County Public Schools,Stuarts Draft High,Hispanic,<,<,<
2019,SCH,Augusta County Public Schools,Stuarts Draft High,Male,76,29,38
2019,SCH,Augusta County Public Schools,Stuarts Draft High,Multiple Races,<,<,<
2019,SCH,Augusta County Public Schools,Stuarts Draft High,Students with Disabilities,<,<,<
2019,SCH,Augusta County Public Schools,Stuarts Draft High,White,128,61,48
2019,SCH,Augusta County Public Schools,Wilson Memorial High,All Students,174,92,53
2019,SCH,Augusta County Public Schools,Wilson Memorial High,American Indian,<,<,<
2019,SCH,Augusta County Public Schools,Wilson Memorial High,Black,<,<,<
2019,SCH,Augusta County Public Schools,Wilson Memorial High,Economically Disadvantaged,54,12,22
2019,SCH,Augusta County Public Schools,Wilson Memorial High,English Learners,<,<,<
2019,SCH,Augusta County Public Schools,Wilson Memorial High,Female,87,50,57
2019,SCH,Augusta County Public Schools,Wilson Memorial High,Hispanic,11,<,<
2019,SCH,Augusta County Public Schools,Wilson Memorial High,Male,87,42,48
2019,SCH,Augusta County Public Schools,Wilson Memorial High,Multiple Races,<,<,<
2019,SCH,Augusta County Public Schools,Wilson Memorial High,Students with Disabilities,12,<,<
2019,SCH,Augusta County Public Schools,Wilson Memorial High,White,150,83,55
2019,SCH,Bath County Public Schools,Bath County High,All Students,28,15,54
2019,SCH,Bath County Public Schools,Bath County High,Black,<,<,<
2019,SCH,Bath County Public Schools,Bath County High,Economically Disadvantaged,11,<,<
2019,SCH,Bath County Public Schools,Bath County High,Female,15,11,73
2019,SCH,Bath County Public Schools,Bath County High,Male,13,<,<
2019,SCH,Bath County Public Schools,Bath County High,Multiple Races,<,<,<
2019,SCH,Bath County Public Schools,Bath County High,White,25,12,48
2019,SCH,Bedford County Public Schools,Jefferson Forest High,All Students,306,237,77
2019,SCH,Bedford County Public Schools,Jefferson Forest High,American Indian,<,<,<
2019,SCH,Bedford County Public Schools,Jefferson Forest High,Asian,13,11,85
2019,SCH,Bedford County Public Schools,Jefferson Forest High,Black,18,15,83
2019,SCH,Bedford County Public Schools,Jefferson Forest High,Economically Disadvantaged,41,25,61
2019,SCH,Bedford County Public Schools,Jefferson Forest High,English Learners,<,<,<
2019,SCH,Bedford County Public Schools,Jefferson Forest High,Female,140,115,82
2019,SCH,Bedford County Public Schools,Jefferson Forest High,Hispanic,11,<,<
2019,SCH,Bedford County Public Schools,Jefferson Forest High,Male,166,122,73
2019,SCH,Bedford County Public Schools,Jefferson Forest High,Multiple Races,10,<,<
2019,SCH,Bedford County Public Schools,Jefferson Forest High,Students with Disabilities,<,<,<
2019,SCH,Bedford County Public Schools,Jefferson Forest High,White,252,192,76
2019,SCH,Bedford County Public Schools,Liberty High,All Students,171,78,46
2019,SCH,Bedford County Public Schools,Liberty High,American Indian,<,<,<
2019,SCH,Bedford County Public Schools,Liberty High,Asian,<,<,<
2019,SCH,Bedford County Public Schools,Liberty High,Black,16,<,<
2019,SCH,Bedford County Public Schools,Liberty High,Economically Disadvantaged,73,28,38
2019,SCH,Bedford County Public Schools,Liberty High,English Learners,<,<,<
2019,SCH,Bedford County Public Schools,Liberty High,Female,93,51,55
2019,SCH,Bedford County Public Schools,Liberty High,Hispanic,<,<,<
2019,SCH,Bedford County Public Schools,Liberty High,Male,78,27,35
2019,SCH,Bedford County Public Schools,Liberty High,Multiple Races,11,<,<
2019,SCH,Bedford County Public Schools,Liberty High,Students with Disabilities,10,<,<
2019,SCH,Bedford County Public Schools,Liberty High,White,135,67,50
2019,SCH,Bedford County Public Schools,Staunton River High,All Students,204,86,42
2019,SCH,Bedford County Public Schools,Staunton River High,American Indian,<,<,<
2019,SCH,Bedford County Public Schools,Staunton River High,Asian,<,<,<
2019,SCH,Bedford County Public Schools,Staunton River High,Black,<,<,<
2019,SCH,Bedford County Public Schools,Staunton River High,Economically Disadvantaged,85,21,25
2019,SCH,Bedford County Public Schools,Staunton River High,English Learners,<,<,<
2019,SCH,Bedford County Public Schools,Staunton River High,Female,109,60,55
2019,SCH,Bedford County Public Schools,Staunton River High,Hispanic,13,<,<
2019,SCH,Bedford County Public Schools,Staunton River High,Male,95,26,27
2019,SCH,Bedford County Public Schools,Staunton River High,Multiple Races,<,<,<
2019,SCH,Bedford County Public Schools,Staunton River High,Students with Disabilities,14,<,<
2019,SCH,Bedford County Public Schools,Staunton River High,White,171,71,42
2019,SCH,Bland County Public Schools,Bland County High,All Students,44,27,61
2019,SCH,Bland County Public Schools,Bland County High,Black,<,<,<
2019,SCH,Bland County Public Schools,Bland County High,Economically Disadvantaged,16,<,<
2019,SCH,Bland County Public Schools,Bland County High,Female,20,15,75
2019,SCH,Bland County Public Schools,Bland County High,Male,24,12,50
2019,SCH,Bland County Public Schools,Bland County High,Students with Disabilities,<,<,<
2019,SCH,Bland County Public Schools,Bland County High,White,43,27,63
2019,SCH,Botetourt County Public Schools,James River High,All Students,134,76,57
2019,SCH,Botetourt County Public Schools,James River High,American Indian,<,<,<
2019,SCH,Botetourt County Public Schools,James River High,Asian,<,<,<
2019,SCH,Botetourt County Public Schools,James River High,Economically Disadvantaged,24,10,42
2019,SCH,Botetourt County Public Schools,James River High,English Learners,<,<,<
2019,SCH,Botetourt County Public Schools,James River High,Female,59,43,73
2019,SCH,Botetourt County Public Schools,James River High,Hispanic,<,<,<
2019,SCH,Botetourt County Public Schools,James River High,Male,75,33,44
2019,SCH,Botetourt County Public Schools,James River High,Multiple Races,<,<,<
2019,SCH,Botetourt County Public Schools,James River High,Students with Disabilities,<,<,<
2019,SCH,Botetourt County Public Schools,James River High,White,126,70,56
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,All Students,261,196,75
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,American Indian,<,<,<
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Asian,<,<,<
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Black,<,<,<
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Economically Disadvantaged,51,30,59
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,English Learners,<,<,<
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Female,150,126,84
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Hispanic,<,<,<
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Male,111,70,63
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Multiple Races,14,11,79
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Native Hawaiian,<,<,<
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,Students with Disabilities,14,<,<
2019,SCH,Botetourt County Public Schools,Lord Botetourt High,White,228,170,75
2019,SCH,Bristol City Public Schools,Virginia High,All Students,141,90,64
2019,SCH,Bristol City Public Schools,Virginia High,American Indian,<,<,<
2019,SCH,Bristol City Public Schools,Virginia High,Black,<,<,<
2019,SCH,Bristol City Public Schools,Virginia High,Economically Disadvantaged,73,39,53
2019,SCH,Bristol City Public Schools,Virginia High,Female,78,56,72
2019,SCH,Bristol City Public Schools,Virginia High,Hispanic,<,<,<
2019,SCH,Bristol City Public Schools,Virginia High,Male,63,34,54
2019,SCH,Bristol City Public Schools,Virginia High,Multiple Races,<,<,<
2019,SCH,Bristol City Public Schools,Virginia High,Students with Disabilities,11,<,<
2019,SCH,Bristol City Public Schools,Virginia High,White,130,81,62
2019,SCH,Brunswick County Public Schools,Brunswick High,All Students,125,62,50
2019,SCH,Brunswick County Public Schools,Brunswick High,Black,92,50,54
2019,SCH,Brunswick County Public Schools,Brunswick High,Economically Disadvantaged,84,35,42
2019,SCH,Brunswick County Public Schools,Brunswick High,English Learners,<,<,<
2019,SCH,Brunswick County Public Schools,Brunswick High,Female,66,40,61
2019,SCH,Brunswick County Public Schools,Brunswick High,Hispanic,<,<,<
2019,SCH,Brunswick County Public Schools,Brunswick High,Male,59,22,37
2019,SCH,Brunswick County Public Schools,Brunswick High,Multiple Races,<,<,<
2019,SCH,Brunswick County Public Schools,Brunswick High,Students with Disabilities,<,<,<
2019,SCH,Brunswick County Public Schools,Brunswick High,White,27,<,<
2019,SCH,Buchanan County Public Schools,Council High ,All Students,15,<,<
2019,SCH,Buchanan County Public Schools,Council High ,Economically Disadvantaged,11,<,<
2019,SCH,Buchanan County Public Schools,Council High ,Female,10,<,<
2019,SCH,Buchanan County Public Schools,Council High ,Male,<,<,<
2019,SCH,Buchanan County Public Schools,Council High ,Students with Disabilities,<,<,<
2019,SCH,Buchanan County Public Schools,Council High ,White,15,<,<
2019,SCH,Buchanan County Public Schools,Grundy High,All Students,93,60,65
2019,SCH,Buchanan County Public Schools,Grundy High,Economically Disadvantaged,52,27,52
2019,SCH,Buchanan County Public Schools,Grundy High,English Learners,<,<,<
2019,SCH,Buchanan County Public Schools,Grundy High,Female,51,36,71
2019,SCH,Buchanan County Public Schools,Grundy High,Male,42,24,57
2019,SCH,Buchanan County Public Schools,Grundy High,Multiple Races,<,<,<
2019,SCH,Buchanan County Public Schools,Grundy High,Native Hawaiian,<,<,<
2019,SCH,Buchanan County Public Schools,Grundy High,Students with Disabilities,10,<,<
2019,SCH,Buchanan County Public Schools,Grundy High,White,90,58,64
2019,SCH,Buchanan County Public Schools,Hurley High,All Students,50,22,44
2019,SCH,Buchanan County Public Schools,Hurley High,Economically Disadvantaged,26,<,<
2019,SCH,Buchanan County Public Schools,Hurley High,Female,20,12,60
2019,SCH,Buchanan County Public Schools,Hurley High,Male,30,10,33
2019,SCH,Buchanan County Public Schools,Hurley High,Students with Disabilities,<,<,<
2019,SCH,Buchanan County Public Schools,Hurley High,White,50,22,44
2019,SCH,Buchanan County Public Schools,Twin Valley High,All Students,37,26,70
2019,SCH,Buchanan County Public Schools,Twin Valley High,Economically Disadvantaged,22,13,59
2019,SCH,Buchanan County Public Schools,Twin Valley High,Female,22,15,68
2019,SCH,Buchanan County Public Schools,Twin Valley High,Male,15,11,73
2019,SCH,Buchanan County Public Schools,Twin Valley High,Multiple Races,<,<,<
2019,SCH,Buchanan County Public Schools,Twin Valley High,Students with Disabilities,<,<,<
2019,SCH,Buchanan County Public Schools,Twin Valley High,White,36,25,69
2019,SCH,Buckingham County Public Schools,Buckingham County High,All Students,137,60,44
2019,SCH,Buckingham County Public Schools,Buckingham County High,Black,42,16,38
2019,SCH,Buckingham County Public Schools,Buckingham County High,Economically Disadvantaged,75,23,31
2019,SCH,Buckingham County Public Schools,Buckingham County High,Female,67,38,57
2019,SCH,Buckingham County Public Schools,Buckingham County High,Hispanic,<,<,<
2019,SCH,Buckingham County Public Schools,Buckingham County High,Male,70,22,31
2019,SCH,Buckingham County Public Schools,Buckingham County High,Multiple Races,<,<,<
2019,SCH,Buckingham County Public Schools,Buckingham County High,Students with Disabilities,15,<,-
2019,SCH,Buckingham County Public Schools,Buckingham County High,White,83,38,46
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,All Students,55,25,45
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,American Indian,<,<,<
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,Black,<,<,<
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,Economically Disadvantaged,16,<,<
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,Female,23,13,57
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,Hispanic,<,<,<
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,Male,32,12,38
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,Multiple Races,<,<,<
2019,SCH,Buena Vista City Public Schools,Parry McCluer High,Native Hawaiian,<,<,<
