Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Albemarle County Public Schools,Albemarle High,Low Poverty,Non-Title I,5.2,10,9.3,18,1,2
2023 - 2024,SCH,Albemarle County Public Schools,Baker-Butler Elementary,Low Poverty,All Schools,11.1,8,2.8,2,1.4,1
2023 - 2024,SCH,Albemarle County Public Schools,Baker-Butler Elementary,Low Poverty,Non-Title I,11.1,8,2.8,2,1.4,1
2023 - 2024,SCH,Albemarle County Public Schools,Broadus Wood Elementary,Low Poverty,All Schools,10.3,3,3.4,1,3.4,1
2023 - 2024,SCH,Albemarle County Public Schools,Broadus Wood Elementary,Low Poverty,Non-Title I,10.3,3,3.4,1,3.4,1
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,Low Poverty,All Schools,5.3,3,5.3,3,3.5,2
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,Low Poverty,Non-Title I,5.3,3,5.3,3,3.5,2
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,Low Poverty,All Schools,0,0,3.1,1,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,Low Poverty,Non-Title I,0,0,3.1,1,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,Low Poverty,All Schools,4.3,2,4.3,2,2.1,1
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,Low Poverty,Non-Title I,4.3,2,4.3,2,2.1,1
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,Low Poverty,All Schools,13.2,5,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,Low Poverty,Non-Title I,13.2,5,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Jackson P. Burley Middle,Medium Poverty,All Schools,0,0,5.2,3,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Jackson P. Burley Middle,Medium Poverty,Non-Title I,0,0,5.2,3,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,Low Poverty,All Schools,1.4,1,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,Low Poverty,Non-Title I,1.4,1,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Journey Middle,Medium Poverty,All Schools,8.6,6,8.6,6,2.9,2
2023 - 2024,SCH,Albemarle County Public Schools,Journey Middle,Medium Poverty,Non-Title I,8.6,6,8.6,6,2.9,2
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,Low Poverty,All Schools,5.6,3,13,7,3.7,2
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,Low Poverty,Non-Title I,5.6,3,13,7,3.7,2
2023 - 2024,SCH,Albemarle County Public Schools,Leslie H. Walton Middle,Medium Poverty,All Schools,4.4,2,6.7,3,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Leslie H. Walton Middle,Medium Poverty,Non-Title I,4.4,2,6.7,3,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Mary Carr Greer Elementary,Medium Poverty,All Schools,7.1,5,1.4,1,1.4,1
2023 - 2024,SCH,Albemarle County Public Schools,Mary Carr Greer Elementary,Medium Poverty,Title I,7.1,5,1.4,1,1.4,1
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,Low Poverty,All Schools,0.8,1,9.7,12,0.8,1
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,Low Poverty,Non-Title I,0.8,1,9.7,12,0.8,1
2023 - 2024,SCH,Albemarle County Public Schools,Mountain View Elementary,Medium Poverty,All Schools,3.8,3,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Mountain View Elementary,Medium Poverty,Title I,3.8,3,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Red Hill Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Red Hill Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Scottsville Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Scottsville Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,Low Poverty,All Schools,4.4,2,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,Low Poverty,Non-Title I,4.4,2,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,Low Poverty,All Schools,0,0,4.5,1,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,Low Poverty,Non-Title I,0,0,4.5,1,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,Low Poverty,All Schools,2.9,3,6.7,7,1.9,2
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,Low Poverty,Non-Title I,2.9,3,6.7,7,1.9,2
2023 - 2024,SCH,Albemarle County Public Schools,Woodbrook Elementary,Medium Poverty,All Schools,7.9,6,3.9,3,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Woodbrook Elementary,Medium Poverty,Title I,7.9,6,3.9,3,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Alexandria City High,Medium Poverty,All Schools,2.4,7,15.4,45,0.7,2
2023 - 2024,SCH,Alexandria City Public Schools,Alexandria City High,Medium Poverty,Non-Title I,2.4,7,15.4,45,0.7,2
2023 - 2024,SCH,Alexandria City Public Schools,Charles Barrett Elementary,Medium Poverty,All Schools,5.6,2,16.7,6,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Charles Barrett Elementary,Medium Poverty,Non-Title I,5.6,2,16.7,6,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,Medium Poverty,All Schools,0,0,4.5,1,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,Medium Poverty,Title I,0,0,4.5,1,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Douglas MacArthur Elementary,Medium Poverty,All Schools,2.6,1,2.6,1,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Douglas MacArthur Elementary,Medium Poverty,Non-Title I,2.6,1,2.6,1,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Ferdinand T. Day Elementary,Medium Poverty,All Schools,9.1,3,15.2,5,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Ferdinand T. Day Elementary,Medium Poverty,Title I,9.1,3,15.2,5,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Francis C. Hammond Middle,Medium Poverty,All Schools,0.8,1,19.5,24,0.8,1
2023 - 2024,SCH,Alexandria City Public Schools,Francis C. Hammond Middle,Medium Poverty,Title I,0.8,1,19.5,24,0.8,1
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,Medium Poverty,All Schools,4.2,1,8.3,2,0,0
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,Medium Poverty,Non-Title I,4.2,1,8.3,2,0,0
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,Medium Poverty,All Schools,1.9,2,19.2,20,0,0
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,Medium Poverty,Non-Title I,1.9,2,19.2,20,0,0
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,Medium Poverty,All Schools,6,3,12,6,0,0
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,Medium Poverty,Title I,6,3,12,6,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,Medium Poverty,All Schools,0,0,20.4,11,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,Medium Poverty,Title I,0,0,20.4,11,0,0
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,Medium Poverty,All Schools,6.4,3,36.2,17,2.1,1
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,Medium Poverty,Title I,6.4,3,36.2,17,2.1,1
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,Low Poverty,All Schools,4,1,4,1,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,Low Poverty,Non-Title I,4,1,4,1,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,Medium Poverty,All Schools,5.9,3,43.1,22,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,Medium Poverty,Non-Title I,5.9,3,43.1,22,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,High Poverty,All Schools,7,4,14,8,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,High Poverty,Title I,7,4,14,8,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,Medium Poverty,All Schools,0,0,4.9,2,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,Medium Poverty,Non-Title I,0,0,4.9,2,0,0
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,Medium Poverty,All Schools,2.8,1,2.8,1,0,0
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,Medium Poverty,Title I,2.8,1,2.8,1,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,Medium Poverty,All Schools,1.5,1,7.5,5,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,Medium Poverty,Non-Title I,1.5,1,7.5,5,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,Medium Poverty,All Schools,11.1,2,11.1,2,5.6,1
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,Medium Poverty,Title I,11.1,2,11.1,2,5.6,1
2023 - 2024,SCH,Alleghany Highlands Public Schools,Covington Middle,Medium Poverty,All Schools,2.4,1,19,8,2.4,1
2023 - 2024,SCH,Alleghany Highlands Public Schools,Covington Middle,Medium Poverty,Non-Title I,2.4,1,19,8,2.4,1
2023 - 2024,SCH,Alleghany Highlands Public Schools,Jeter-Watson Elementary,Medium Poverty,All Schools,12.5,4,6.3,2,3.1,1
2023 - 2024,SCH,Alleghany Highlands Public Schools,Jeter-Watson Elementary,Medium Poverty,Title I,12.5,4,6.3,2,3.1,1
2023 - 2024,SCH,Alleghany Highlands Public Schools,Mountain View Elementary,Medium Poverty,All Schools,18.2,6,18.2,6,6.1,2
2023 - 2024,SCH,Alleghany Highlands Public Schools,Mountain View Elementary,Medium Poverty,Title I,18.2,6,18.2,6,6.1,2
2023 - 2024,SCH,Alleghany Highlands Public Schools,Sharon Elementary,Medium Poverty,All Schools,6.3,1,6.3,1,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Sharon Elementary,Medium Poverty,Title I,6.3,1,6.3,1,0,0
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Elementary,Medium Poverty,All Schools,1.8,1,0,0,0,0
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Elementary,Medium Poverty,Title I,1.8,1,0,0,0,0
2023 - 2024,SCH,Amelia County Public Schools,Amelia County High,Medium Poverty,All Schools,2.2,1,2.2,1,2.2,1
2023 - 2024,SCH,Amelia County Public Schools,Amelia County High,Medium Poverty,Non-Title I,2.2,1,2.2,1,2.2,1
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Middle,Medium Poverty,All Schools,10,4,10,4,5,2
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Middle,Medium Poverty,Non-Title I,10,4,10,4,5,2
2023 - 2024,SCH,Amherst County Public Schools,Amelon Elementary,Medium Poverty,All Schools,12.5,5,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amelon Elementary,Medium Poverty,Title I,12.5,5,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amherst County High,Medium Poverty,All Schools,8.6,8,9.7,9,4.3,4
2023 - 2024,SCH,Amherst County Public Schools,Amherst County High,Medium Poverty,Non-Title I,8.6,8,9.7,9,4.3,4
2023 - 2024,SCH,Amherst County Public Schools,Amherst Elementary,Medium Poverty,All Schools,7.1,2,3.6,1,3.6,1
2023 - 2024,SCH,Amherst County Public Schools,Amherst Elementary,Medium Poverty,Title I,7.1,2,3.6,1,3.6,1
2023 - 2024,SCH,Amherst County Public Schools,Amherst Middle,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amherst Middle,Medium Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Central Elementary,Medium Poverty,All Schools,11.9,5,9.5,4,9.5,4
2023 - 2024,SCH,Amherst County Public Schools,Central Elementary,Medium Poverty,Title I,11.9,5,9.5,4,9.5,4
2023 - 2024,SCH,Amherst County Public Schools,Elon Elementary,Medium Poverty,All Schools,10.3,3,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Elon Elementary,Medium Poverty,Title I,10.3,3,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Madison Heights Elementary,Medium Poverty,All Schools,7.3,3,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Madison Heights Elementary,Medium Poverty,Title I,7.3,3,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Monelison Middle,Medium Poverty,All Schools,3.9,2,9.8,5,2,1
2023 - 2024,SCH,Amherst County Public Schools,Monelison Middle,Medium Poverty,Non-Title I,3.9,2,9.8,5,2,1
2023 - 2024,SCH,Amherst County Public Schools,Temperance Elementary,Medium Poverty,All Schools,0,0,5.6,1,0,0
2023 - 2024,SCH,Amherst County Public Schools,Temperance Elementary,Medium Poverty,Title I,0,0,5.6,1,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox County High,Medium Poverty,All Schools,0,0,24.1,14,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox County High,Medium Poverty,Non-Title I,0,0,24.1,14,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Elementary,Medium Poverty,All Schools,9.1,4,6.8,3,6.8,3
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Elementary,Medium Poverty,Title I,9.1,4,6.8,3,6.8,3
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Middle,Medium Poverty,All Schools,4.4,2,17.8,8,2.2,1
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Middle,Medium Poverty,Non-Title I,4.4,2,17.8,8,2.2,1
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Primary,Medium Poverty,All Schools,0,0,8.7,4,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Primary,Medium Poverty,Title I,0,0,8.7,4,0,0
2023 - 2024,SCH,Arlington County Public Schools,Abingdon Elementary,Medium Poverty,All Schools,3.9,3,2.6,2,1.3,1
2023 - 2024,SCH,Arlington County Public Schools,Abingdon Elementary,Medium Poverty,Title I,3.9,3,2.6,2,1.3,1
2023 - 2024,SCH,Arlington County Public Schools,Alice West Fleet Elementary,Medium Poverty,All Schools,15.4,10,1.5,1,1.5,1
2023 - 2024,SCH,Arlington County Public Schools,Alice West Fleet Elementary,Medium Poverty,Non-Title I,15.4,10,1.5,1,1.5,1
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,Low Poverty,All Schools,6.7,2,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,Low Poverty,Non-Title I,6.7,2,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,Low Poverty,All Schools,13.5,7,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,Low Poverty,Non-Title I,13.5,7,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,Low Poverty,All Schools,13.3,8,1.7,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,Low Poverty,Non-Title I,13.3,8,1.7,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,Low Poverty,All Schools,15.5,9,5.2,3,5.2,3
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,Low Poverty,Non-Title I,15.5,9,5.2,3,5.2,3
2023 - 2024,SCH,Arlington County Public Schools,Barcroft Elementary,Medium Poverty,All Schools,16.1,9,3.6,2,3.6,2
2023 - 2024,SCH,Arlington County Public Schools,Barcroft Elementary,Medium Poverty,Title I,16.1,9,3.6,2,3.6,2
2023 - 2024,SCH,Arlington County Public Schools,Barrett Elementary,Medium Poverty,All Schools,9.7,7,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Barrett Elementary,Medium Poverty,Title I,9.7,7,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Campbell Elementary,Medium Poverty,All Schools,11.5,6,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Campbell Elementary,Medium Poverty,Title I,11.5,6,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,Low Poverty,All Schools,8.9,5,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,Low Poverty,Non-Title I,8.9,5,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Carlin Springs Elementary,Medium Poverty,All Schools,16.2,12,5.4,4,2.7,2
2023 - 2024,SCH,Arlington County Public Schools,Carlin Springs Elementary,Medium Poverty,Title I,16.2,12,5.4,4,2.7,2
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,Low Poverty,All Schools,9.6,5,5.8,3,3.8,2
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,Low Poverty,Non-Title I,9.6,5,5.8,3,3.8,2
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,Low Poverty,All Schools,13.3,6,2.2,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,Low Poverty,Non-Title I,13.3,6,2.2,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,Low Poverty,All Schools,10,9,7.8,7,3.3,3
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,Low Poverty,Non-Title I,10,9,7.8,7,3.3,3
2023 - 2024,SCH,Arlington County Public Schools,Dr. Charles R. Drew Elementary,Medium Poverty,All Schools,10.3,6,3.4,2,3.4,2
2023 - 2024,SCH,Arlington County Public Schools,Dr. Charles R. Drew Elementary,Medium Poverty,Title I,10.3,6,3.4,2,3.4,2
2023 - 2024,SCH,Arlington County Public Schools,Escuela Key Elementary,Low Poverty,All Schools,11.8,6,5.9,3,2,1
2023 - 2024,SCH,Arlington County Public Schools,Escuela Key Elementary,Low Poverty,Non-Title I,11.8,6,5.9,3,2,1
2023 - 2024,SCH,Arlington County Public Schools,Glebe Elementary,Low Poverty,All Schools,4,2,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Glebe Elementary,Low Poverty,Non-Title I,4,2,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Gunston Middle,Low Poverty,All Schools,8.9,9,7.9,8,1,1
2023 - 2024,SCH,Arlington County Public Schools,Gunston Middle,Low Poverty,Non-Title I,8.9,9,7.9,8,1,1
2023 - 2024,SCH,Arlington County Public Schools,Hoffman-Boston Elementary,Medium Poverty,All Schools,9.7,7,2.8,2,1.4,1
2023 - 2024,SCH,Arlington County Public Schools,Hoffman-Boston Elementary,Medium Poverty,Title I,9.7,7,2.8,2,1.4,1
2023 - 2024,SCH,Arlington County Public Schools,Innovation Elementary ,Medium Poverty,All Schools,19.6,11,1.8,1,1.8,1
2023 - 2024,SCH,Arlington County Public Schools,Innovation Elementary ,Medium Poverty,Non-Title I,19.6,11,1.8,1,1.8,1
2023 - 2024,SCH,Arlington County Public Schools,Jamestown Elementary,Low Poverty,All Schools,14.3,7,4.1,2,4.1,2
2023 - 2024,SCH,Arlington County Public Schools,Jamestown Elementary,Low Poverty,Non-Title I,14.3,7,4.1,2,4.1,2
2023 - 2024,SCH,Arlington County Public Schools,Jefferson Middle,Medium Poverty,All Schools,5.7,6,0.9,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Jefferson Middle,Medium Poverty,Non-Title I,5.7,6,0.9,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Kenmore Middle,Medium Poverty,All Schools,8.2,9,8.2,9,2.7,3
2023 - 2024,SCH,Arlington County Public Schools,Kenmore Middle,Medium Poverty,Non-Title I,8.2,9,8.2,9,2.7,3
2023 - 2024,SCH,Arlington County Public Schools,Long Branch Elementary,Low Poverty,All Schools,8.3,5,3.3,2,3.3,2
2023 - 2024,SCH,Arlington County Public Schools,Long Branch Elementary,Low Poverty,Non-Title I,8.3,5,3.3,2,3.3,2
2023 - 2024,SCH,Arlington County Public Schools,Montessori Public School of Arlington,Low Poverty,All Schools,2.2,1,4.4,2,0,0
2023 - 2024,SCH,Arlington County Public Schools,Montessori Public School of Arlington,Low Poverty,Non-Title I,2.2,1,4.4,2,0,0
2023 - 2024,SCH,Arlington County Public Schools,Nottingham Elementary,Low Poverty,All Schools,16.2,6,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Nottingham Elementary,Low Poverty,Non-Title I,16.2,6,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Oakridge Elementary,Low Poverty,All Schools,21.3,13,1.6,1,1.6,1
2023 - 2024,SCH,Arlington County Public Schools,Oakridge Elementary,Low Poverty,Non-Title I,21.3,13,1.6,1,1.6,1
2023 - 2024,SCH,Arlington County Public Schools,Randolph Elementary,Medium Poverty,All Schools,13.6,8,1.7,1,1.7,1
2023 - 2024,SCH,Arlington County Public Schools,Randolph Elementary,Medium Poverty,Title I,13.6,8,1.7,1,1.7,1
2023 - 2024,SCH,Arlington County Public Schools,Swanson Middle,Low Poverty,All Schools,6.7,6,1.1,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Swanson Middle,Low Poverty,Non-Title I,6.7,6,1.1,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Taylor Elementary,Low Poverty,All Schools,18,9,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Taylor Elementary,Low Poverty,Non-Title I,18,9,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Tuckahoe Elementary,Low Poverty,All Schools,26.2,11,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Tuckahoe Elementary,Low Poverty,Non-Title I,26.2,11,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Wakefield High,Medium Poverty,All Schools,4.3,8,2.7,5,0.5,1
2023 - 2024,SCH,Arlington County Public Schools,Wakefield High,Medium Poverty,Non-Title I,4.3,8,2.7,5,0.5,1
2023 - 2024,SCH,Arlington County Public Schools,Washington-Liberty High,Low Poverty,All Schools,10.8,22,5.4,11,2.5,5
2023 - 2024,SCH,Arlington County Public Schools,Washington-Liberty High,Low Poverty,Non-Title I,10.8,22,5.4,11,2.5,5
2023 - 2024,SCH,Arlington County Public Schools,Williamsburg Middle,Low Poverty,All Schools,8.5,6,2.8,2,0,0
2023 - 2024,SCH,Arlington County Public Schools,Williamsburg Middle,Low Poverty,Non-Title I,8.5,6,2.8,2,0,0
2023 - 2024,SCH,Arlington County Public Schools,Yorktown High,Low Poverty,All Schools,5.6,10,1.7,3,0.6,1
2023 - 2024,SCH,Arlington County Public Schools,Yorktown High,Low Poverty,Non-Title I,5.6,10,1.7,3,0.6,1
