Teacher Educational Attainment,,,,,
,,,,,
,,,,,
Year,Level,Division,School,Year Percent,Type
2023 - 2024,SCH,Albemarle County Public Schools,Red Hill Elementary,68,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Red Hill Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Scottsville Elementary,37,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Scottsville Elementary,59,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Scottsville Elementary,4,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,68,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,2,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,38,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,58,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,52,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,40,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,56,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,2,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Woodbrook Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Woodbrook Elementary,69,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Woodbrook Elementary,1,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Alexandria City High,25,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Alexandria City High,68,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Alexandria City High,1,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Charles Barrett Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Charles Barrett Elementary,60,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Charles Barrett Elementary,3,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,24,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,68,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,4,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Douglas MacArthur Elementary,24,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Douglas MacArthur Elementary,73,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Douglas MacArthur Elementary,2,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Ferdinand T. Day Elementary,49,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Ferdinand T. Day Elementary,43,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Ferdinand T. Day Elementary,3,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Francis C. Hammond Middle,26,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Francis C. Hammond Middle,68,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Francis C. Hammond Middle,2,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,19,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,78,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,4,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,31,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,63,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,4,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,61,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,2,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,14,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,75,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,5,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,64,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,4,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,10,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,76,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,10,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,60,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,2,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,67,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,4,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,30,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,63,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,2,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,25,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,68,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,2,Doctoral Degree
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,61,Master's Degree
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,5,Doctoral Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,38,Bachelor's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,52,Master's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,0,Doctoral Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,58,Bachelor's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,42,Master's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,0,Doctoral Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Covington Middle,62,Bachelor's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Covington Middle,33,Master's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Covington Middle,0,Doctoral Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Jeter-Watson Elementary,71,Bachelor's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Jeter-Watson Elementary,29,Master's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Jeter-Watson Elementary,0,Doctoral Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Mountain View Elementary,49,Bachelor's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Mountain View Elementary,40,Master's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Mountain View Elementary,3,Doctoral Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Sharon Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Sharon Elementary,47,Master's Degree
2023 - 2024,SCH,Alleghany Highlands Public Schools,Sharon Elementary,0,Doctoral Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Elementary,47,Bachelor's Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Elementary,52,Master's Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Elementary,2,Doctoral Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County High,66,Bachelor's Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County High,32,Master's Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County High,2,Doctoral Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Middle,50,Bachelor's Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Middle,45,Master's Degree
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Middle,0,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Amelon Elementary,55,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Amelon Elementary,45,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Amelon Elementary,0,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst County High,53,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst County High,39,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst County High,0,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst Elementary,52,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst Elementary,0,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst Middle,53,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst Middle,45,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Amherst Middle,3,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Central Elementary,36,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Central Elementary,59,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Central Elementary,0,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Elon Elementary,55,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Elon Elementary,45,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Elon Elementary,0,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Madison Heights Elementary,51,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Madison Heights Elementary,49,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Madison Heights Elementary,0,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Monelison Middle,54,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Monelison Middle,43,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Monelison Middle,0,Doctoral Degree
2023 - 2024,SCH,Amherst County Public Schools,Temperance Elementary,37,Bachelor's Degree
2023 - 2024,SCH,Amherst County Public Schools,Temperance Elementary,63,Master's Degree
2023 - 2024,SCH,Amherst County Public Schools,Temperance Elementary,0,Doctoral Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox County High,49,Bachelor's Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox County High,44,Master's Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox County High,0,Doctoral Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Elementary,52,Bachelor's Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Elementary,41,Master's Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Elementary,2,Doctoral Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Middle,45,Bachelor's Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Middle,53,Master's Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Middle,0,Doctoral Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Primary,65,Bachelor's Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Primary,33,Master's Degree
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Primary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Abingdon Elementary,21,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Abingdon Elementary,73,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Abingdon Elementary,3,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Alice West Fleet Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Alice West Fleet Elementary,64,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Alice West Fleet Elementary,1,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,3,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,81,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,16,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,31,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,67,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,31,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,65,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,2,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,17,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,80,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Barcroft Elementary,22,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Barcroft Elementary,76,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Barcroft Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Barrett Elementary,24,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Barrett Elementary,72,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Barrett Elementary,3,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Campbell Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Campbell Elementary,72,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Campbell Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,71,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Carlin Springs Elementary,22,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Carlin Springs Elementary,74,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Carlin Springs Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,31,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,57,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,6,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,17,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,79,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,4,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,24,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,71,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Dr. Charles R. Drew Elementary,35,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Dr. Charles R. Drew Elementary,63,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Dr. Charles R. Drew Elementary,2,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Escuela Key Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Escuela Key Elementary,72,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Escuela Key Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Glebe Elementary,13,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Glebe Elementary,87,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Glebe Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Gunston Middle,24,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Gunston Middle,68,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Gunston Middle,6,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Hoffman-Boston Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Hoffman-Boston Elementary,69,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Hoffman-Boston Elementary,1,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Innovation Elementary ,26,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Innovation Elementary ,74,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Innovation Elementary ,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Jamestown Elementary,24,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Jamestown Elementary,71,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Jamestown Elementary,4,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Jefferson Middle,32,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Jefferson Middle,65,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Jefferson Middle,1,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Kenmore Middle,26,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Kenmore Middle,67,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Kenmore Middle,3,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Long Branch Elementary,21,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Long Branch Elementary,76,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Long Branch Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Montessori Public School of Arlington,21,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Montessori Public School of Arlington,70,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Montessori Public School of Arlington,6,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Nottingham Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Nottingham Elementary,69,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Nottingham Elementary,3,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Oakridge Elementary,27,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Oakridge Elementary,68,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Oakridge Elementary,2,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Randolph Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Randolph Elementary,64,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Randolph Elementary,5,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Swanson Middle,27,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Swanson Middle,68,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Swanson Middle,1,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Taylor Elementary,37,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Taylor Elementary,62,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Taylor Elementary,0,Doctoral Degree
