"division_name","school_name","group_type","number_unfilled","percent_unfilled","pass_rate","school_level_expenditures_per_pupil_federal","school_level_expenditures_per_pupil_state","total_school_level_ppexp","per_pupil_federal_funds","per_pupil_state_funds","breakfast_percent","percent_of_inexperienced_principals","percent_of_inexperienced_assistant_principals","bachelors_percent","masters_percent","graduation_rate","completion_rate","ps_enrollment_percent","special_education_percent","poverty_high","poverty_low","poverty_level","percent_of_inexperienced_teachers","percent_of_out_of_field_teachers","percent_of_out_of_field_and_inexperienced_teachers","median_income","county_rank"
"Accomack County","Nandua Middle","Physical, Health, and Safety Education",0,0,NA,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
"Accomack County","Nandua Middle","CTE and other electives",0,0,NA,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
"Accomack County","Nandua Middle","Mathematics",0,0,71.74,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
"Accomack County","Nandua Middle","World language",0,0,NA,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
"Accomack County","Nandua Middle","Life and Physical Sciences",0,0,60.38,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
"Accomack County","Pungoteague Elementary","Elementary, PK-6",0,0,NA,2084,8239,10323,2434,12245,68.5,0,0,45,45,NA,NA,NA,3.2,1,0,"High Poverty",6.5,6.5,0,57500,2147
"Accomack County","Pungoteague Elementary","Visual and Performing Arts",0,0,NA,2084,8239,10323,2434,12245,68.5,0,0,45,45,NA,NA,NA,3.2,1,0,"High Poverty",6.5,6.5,0,57500,2147
"Accomack County","Pungoteague Elementary","Physical, Health, and Safety Education",0,0,NA,2084,8239,10323,2434,12245,68.5,0,0,45,45,NA,NA,NA,3.2,1,0,"High Poverty",6.5,6.5,0,57500,2147
"Accomack County","Pungoteague Elementary","CTE and other electives",0,0,NA,2084,8239,10323,2434,12245,68.5,0,0,45,45,NA,NA,NA,3.2,1,0,"High Poverty",6.5,6.5,0,57500,2147
"Accomack County","Tangier Combined","CTE and other electives",0,0,NA,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Accomack County","Tangier Combined","Physical, Health, and Safety Education",0,0,NA,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Accomack County","Tangier Combined","English Language and Literature",0,0,78.95,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Accomack County","Tangier Combined","English Language and Literature",0,0,NA,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Accomack County","Tangier Combined","Social Sciences and History",0,0,92.31,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Accomack County","Tangier Combined","Life and Physical Sciences",0,0,63.64,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Accomack County","Tangier Combined","Visual and Performing Arts",0,0,NA,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Accomack County","Tangier Combined","Elementary, PK-6",0,0,NA,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Accomack County","Tangier Combined","Mathematics",0,0,90.48,2104,25239,27343,2454,29245,69.2,0,0,83,0,NA,NA,NA,0,1,0,"High Poverty",0,40,0,57500,2147
"Albemarle County","Agnor-Hurt Elementary","Physical, Health, and Safety Education",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Agnor-Hurt Elementary","Special Education",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Agnor-Hurt Elementary","Title I",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Agnor-Hurt Elementary","Elementary, PK-6",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Agnor-Hurt Elementary","Visual and Performing Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Albemarle High","Visual and Performing Arts",0,0,NA,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","CTE and other electives",0,0,NA,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","English Language and Literature",0,0,79.92,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","English Language and Literature",0,0,74.66,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","World language",0,0,NA,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","Social Sciences and History",0,0,NA,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","Special Education",0,0,NA,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","Mathematics",0,0,70.18,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","Physical, Health, and Safety Education",0,0,NA,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Albemarle High","Life and Physical Sciences",0,0,59.15,241,14087,14327,292,19147,13.2,0,0,34,62,90.7,91.1,75,1,0,1,"Low Poverty",5.2,9.3,1,102617,126
"Albemarle County","Baker-Butler Elem","Physical, Health, and Safety Education",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Baker-Butler Elem","Special Education",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Baker-Butler Elem","Elementary, PK-6",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Baker-Butler Elem","Visual and Performing Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102617,126
"Albemarle County","Broadus Wood Elementary","Elementary, PK-6",0,0,NA,246,15635,15881,297,20695,45.7,0,0,26,74,NA,NA,NA,0,0,1,"Low Poverty",10.3,3.4,3.4,102617,126
"Albemarle County","Broadus Wood Elementary","Special Education",0,0,NA,246,15635,15881,297,20695,45.7,0,0,26,74,NA,NA,NA,0,0,1,"Low Poverty",10.3,3.4,3.4,102617,126
"Albemarle County","Broadus Wood Elementary","Physical, Health, and Safety Education",0,0,NA,246,15635,15881,297,20695,45.7,0,0,26,74,NA,NA,NA,0,0,1,"Low Poverty",10.3,3.4,3.4,102617,126
"Albemarle County","Broadus Wood Elementary","World language",0,0,NA,246,15635,15881,297,20695,45.7,0,0,26,74,NA,NA,NA,0,0,1,"Low Poverty",10.3,3.4,3.4,102617,126
"Albemarle County","Broadus Wood Elementary","Visual and Performing Arts",0,0,NA,246,15635,15881,297,20695,45.7,0,0,26,74,NA,NA,NA,0,0,1,"Low Poverty",10.3,3.4,3.4,102617,126
"Albemarle County","Brownsville Elementary","Physical, Health, and Safety Education",0,0,NA,695,12520,13215,746,17580,36.9,0,0,46,53,NA,NA,NA,0,0,1,"Low Poverty",5.3,5.3,3.5,102617,126
"Albemarle County","Brownsville Elementary","Visual and Performing Arts",0,0,NA,695,12520,13215,746,17580,36.9,0,0,46,53,NA,NA,NA,0,0,1,"Low Poverty",5.3,5.3,3.5,102617,126
"Albemarle County","Brownsville Elementary","Special Education",0,0,NA,695,12520,13215,746,17580,36.9,0,0,46,53,NA,NA,NA,0,0,1,"Low Poverty",5.3,5.3,3.5,102617,126
"Albemarle County","Brownsville Elementary","Elementary, PK-6",0,0,NA,695,12520,13215,746,17580,36.9,0,0,46,53,NA,NA,NA,0,0,1,"Low Poverty",5.3,5.3,3.5,102617,126
"Albemarle County","Community Lab School","Visual and Performing Arts",0,0,NA,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","Mathematics",0,0,85.12,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","World language",0,0,NA,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","Social Sciences and History",0,0,NA,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","Life and Physical Sciences",0,0,91.23,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","Physical, Health, and Safety Education",0,0,NA,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","CTE and other electives",0,0,NA,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","English Language and Literature",0,0,88.89,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","English Language and Literature",0,0,90.48,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Community Lab School","Special Education",0,0,NA,838,18300,19138,889,23360,47,0,100,39,52,100,100,56,0,0,1,"Low Poverty",0,3.1,0,102617,126
"Albemarle County","Crozet Elementary","World language",0,0,NA,619,12251,12869,670,17311,31.6,0,0,39,57,NA,NA,NA,0,0,1,"Low Poverty",4.3,4.3,2.1,102617,126
"Albemarle County","Crozet Elementary","Physical, Health, and Safety Education",0,0,NA,619,12251,12869,670,17311,31.6,0,0,39,57,NA,NA,NA,0,0,1,"Low Poverty",4.3,4.3,2.1,102617,126
"Albemarle County","Crozet Elementary","Special Education",0,0,NA,619,12251,12869,670,17311,31.6,0,0,39,57,NA,NA,NA,0,0,1,"Low Poverty",4.3,4.3,2.1,102617,126
"Albemarle County","Crozet Elementary","Visual and Performing Arts",0,0,NA,619,12251,12869,670,17311,31.6,0,0,39,57,NA,NA,NA,0,0,1,"Low Poverty",4.3,4.3,2.1,102617,126
"Albemarle County","Crozet Elementary","Elementary, PK-6",0,0,NA,619,12251,12869,670,17311,31.6,0,0,39,57,NA,NA,NA,0,0,1,"Low Poverty",4.3,4.3,2.1,102617,126
"Albemarle County","Hollymead Elementary","Physical, Health, and Safety Education",0,0,NA,782,14446,15227,833,19506,17.4,0,0,43,55,NA,NA,NA,5.3,0,1,"Low Poverty",13.2,0,0,102617,126
"Albemarle County","Hollymead Elementary","Special Education",0,0,NA,782,14446,15227,833,19506,17.4,0,0,43,55,NA,NA,NA,5.3,0,1,"Low Poverty",13.2,0,0,102617,126
"Albemarle County","Hollymead Elementary","Visual and Performing Arts",0,0,NA,782,14446,15227,833,19506,17.4,0,0,43,55,NA,NA,NA,5.3,0,1,"Low Poverty",13.2,0,0,102617,126
"Albemarle County","Hollymead Elementary","Elementary, PK-6",0,0,NA,782,14446,15227,833,19506,17.4,0,0,43,55,NA,NA,NA,5.3,0,1,"Low Poverty",13.2,0,0,102617,126
"Albemarle County","Ivy Elementary","Elementary, PK-6",0,0,NA,332,12759,13091,383,17819,39.9,0,0,22,72,NA,NA,NA,0,0,1,"Low Poverty",0,0,0,102617,126
"Albemarle County","Ivy Elementary","Visual and Performing Arts",0,0,NA,332,12759,13091,383,17819,39.9,0,0,22,72,NA,NA,NA,0,0,1,"Low Poverty",0,0,0,102617,126
"Albemarle County","Ivy Elementary","Physical, Health, and Safety Education",0,0,NA,332,12759,13091,383,17819,39.9,0,0,22,72,NA,NA,NA,0,0,1,"Low Poverty",0,0,0,102617,126
"Albemarle County","Ivy Elementary","Special Education",0,0,NA,332,12759,13091,383,17819,39.9,0,0,22,72,NA,NA,NA,0,0,1,"Low Poverty",0,0,0,102617,126
"Albemarle County","Ivy Elementary","World language",0,0,NA,332,12759,13091,383,17819,39.9,0,0,22,72,NA,NA,NA,0,0,1,"Low Poverty",0,0,0,102617,126
"Albemarle County","Jackson P. Burley Middle","Special Education",0,0,NA,576,13779,14355,627,18839,38.7,0,0,25,72,NA,NA,NA,0,0,0,"Medium Poverty",0,5.2,0,102617,126
"Albemarle County","Jackson P. Burley Middle","English Language and Literature",0,0,67.55,576,13779,14355,627,18839,38.7,0,0,25,72,NA,NA,NA,0,0,0,"Medium Poverty",0,5.2,0,102617,126
"Albemarle County","Jackson P. Burley Middle","Visual and Performing Arts",0,0,NA,576,13779,14355,627,18839,38.7,0,0,25,72,NA,NA,NA,0,0,0,"Medium Poverty",0,5.2,0,102617,126
"Albemarle County","Jackson P. Burley Middle","Mathematics",0,0,60.63,576,13779,14355,627,18839,38.7,0,0,25,72,NA,NA,NA,0,0,0,"Medium Poverty",0,5.2,0,102617,126
"Albemarle County","Jackson P. Burley Middle","Life and Physical Sciences",0,0,59.2,576,13779,14355,627,18839,38.7,0,0,25,72,NA,NA,NA,0,0,0,"Medium Poverty",0,5.2,0,102617,126
"Albemarle County","Jackson P. Burley Middle","World language",0,0,NA,576,13779,14355,627,18839,38.7,0,0,25,72,NA,NA,NA,0,0,0,"Medium Poverty",0,5.2,0,102617,126
"Albemarle County","Jackson P. Burley Middle","Social Sciences and History",0,0,69.68,576,13779,14355,627,18839,38.7,0,0,25,72,NA,NA,NA,0,0,0,"Medium Poverty",0,5.2,0,102617,126
